Time,Hour,Peaje_Trans,Periodo_Trans,PMD,Ai1,Ai2,Bi,Perd,Green,TEAr1,TEAr2,Peaje_Org,Periodo_Org,源文件
02/03/2024,1,6.2TD,P6,34.999,6.06,0.41,0.000,0.225,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,2,6.2TD,P6,34.735,6.53,0.77,0.000,0.232,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,3,6.2TD,P6,34.765,8.28,0.42,0.000,0.238,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,4,6.2TD,P6,33.852,8.58,0.84,0.000,0.240,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,5,6.2TD,P6,35.080,8.73,1.90,0.000,0.242,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,6,6.2TD,P6,34.958,8.76,1.76,0.000,0.240,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,7,6.2TD,P6,33.963,8.51,0.93,0.000,0.236,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,8,6.2TD,P6,34.065,6.69,0.88,0.000,0.225,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,9,6.2TD,P6,37.202,8.53,2.05,0.000,0.199,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,10,6.2TD,P6,35.192,8.13,0.61,0.000,0.176,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,11,6.2TD,P6,36.035,8.42,1.46,0.000,0.169,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,12,6.2TD,P6,35.009,8.92,1.58,0.000,0.166,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,13,6.2TD,P6,34.806,8.48,1.83,0.000,0.166,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,14,6.2TD,P6,34.187,7.87,1.82,0.000,0.160,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,15,6.2TD,P6,34.309,7.97,1.84,0.000,0.163,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,16,6.2TD,P6,34.095,7.68,1.92,0.000,0.178,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,17,6.2TD,P6,36.339,7.87,2.95,0.000,0.189,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,18,6.2TD,P6,36.725,7.78,2.37,0.000,0.193,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,19,6.2TD,P6,34.207,3.30,3.22,0.000,0.205,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,20,6.2TD,P6,36.217,2.21,1.37,0.000,0.216,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,21,6.2TD,P6,59.324,1.60,1.60,0.000,0.217,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,22,6.2TD,P6,59.557,1.62,1.67,0.000,0.215,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,23,6.2TD,P6,34.979,2.37,1.61,0.000,0.217,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
02/03/2024,24,6.2TD,P6,32.908,2.60,0.66,0.000,0.223,0.000,0.557,2.195,2.0TD,3,C2_pvpcdata_20240302
